date,total_orders
10/08/2021,455
11/08/2021,553
12/08/2021,569
13/08/2021,426
14/08/2021,536
15/08/2021,628
16/08/2021,18
17/08/2021,852
19/08/2021,4
20/08/2021,713
21/08/2021,675
22/08/2021,798
23/08/2021,544
24/08/2021,666
25/08/2021,687
26/08/2021,667
27/08/2021,650
28/08/2021,939
29/08/2021,603
30/08/2021,720
31/08/2021,727
01/09/2021,664
02/09/2021,1148
03/09/2021,984
04/09/2021,1346
05/09/2021,1448
06/09/2021,1379
07/09/2021,1196
08/09/2021,515
09/09/2021,1006
10/09/2021,420
11/09/2021,389
12/09/2021,363
13/09/2021,418
14/09/2021,365
15/09/2021,391
16/09/2021,437
17/09/2021,543
18/09/2021,551
19/09/2021,577
20/09/2021,558
21/09/2021,623
22/09/2021,535
23/09/2021,500
24/09/2021,371
25/09/2021,475
26/09/2021,752
27/09/2021,882
28/09/2021,40
29/09/2021,1037
30/09/2021,1212
01/10/2021,615
02/10/2021,922
03/10/2021,924
04/10/2021,1146
05/10/2021,1081
06/10/2021,1315
07/10/2021,1558
08/10/2021,1245
09/10/2021,1323
10/10/2021,1348
11/10/2021,1646
12/10/2021,1703
13/10/2021,1461
14/10/2021,1624
15/10/2021,1356
16/10/2021,1943
17/10/2021,1732
18/10/2021,1867
19/10/2021,827
20/10/2021,1590
21/10/2021,1579
22/10/2021,2074
23/10/2021,1945
24/10/2021,1626
25/10/2021,1766
26/10/2021,2067
27/10/2021,2019
28/10/2021,1954
29/10/2021,1471
30/10/2021,1888
31/10/2021,2037
01/11/2021,1864
02/11/2021,2126
03/11/2021,1805
04/11/2021,1876
05/11/2021,1442
06/11/2021,2032
07/11/2021,2117
08/11/2021,2063
